Matrix Size,Execution Time (seconds)
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.001
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
64,0.0
64,0.004
64,0.0
64,0.004
64,0.0
64,0.0
64,0.004
64,0.0
64,0.0
64,0.0
64,0.004
64,0.0
64,0.0
64,0.003
64,0.0
64,0.0
64,0.001
64,0.001
64,0.0
64,0.003
64,0.0
64,0.003
64,0.001
64,0.0
64,0.0
64,0.0
64,0.003
64,0.001
64,0.0
64,0.0
64,0.0
64,0.0
128,0.004
128,0.003
128,0.004
128,0.004
128,0.004
128,0.0
128,0.0
128,0.0
128,0.002
128,0.006
128,0.003
128,0.002
128,0.002
128,0.002
128,0.002
128,0.004
128,0.0
128,0.0
128,0.0
128,0.0
128,0.0
128,0.0
128,0.001
128,0.001
128,0.004
128,0.004
128,0.004
128,0.004
128,0.002
128,0.004
128,0.005
128,0.004
256,0.041
256,0.028
256,0.085
256,0.056
256,0.032
256,0.024
256,0.041
256,0.054
256,0.029
256,0.033
256,0.024
256,0.028
256,0.037
256,0.04
256,0.027
256,0.028
256,0.024
256,0.021
256,0.023
256,0.032
256,0.029
256,0.031
256,0.033
256,0.029
256,0.029
256,0.028
256,0.028
256,0.032
256,0.022
256,0.025
256,0.023
256,0.024
512,0.293
512,0.277
512,0.279
512,0.285
512,0.273
512,0.285
512,0.319
512,0.348
512,0.332
512,0.29
512,0.293
512,0.291
512,0.28
512,0.269
512,0.276
512,0.288
512,0.298
512,0.269
512,0.273
512,0.282
512,0.276
512,0.277
512,0.319
512,0.273
512,0.293
512,0.303
512,0.294
512,0.403
512,0.302
512,0.286
512,0.277
512,0.277
